,type,group,item,cond,correct_answer,question,sentence
1,practice,1,201,,0,この文は、英語として文法的（ただしい）と思いますか？,This is the first example.
2,practice,1,202,,0,この文は、英語として文法的（ただしい）と思いますか？,This is the second example.
3,practice,1,203,,0,この文は、英語として文法的（ただしい）と思いますか？,This is the last example. 
100,filler,1,101,,0,この文は、英語として文法的（ただしい）と思いますか？,Who wonders whether Mary stole a necklace yesterday morning ?
101,filler,1,102,,0,この文は、英語として文法的（ただしい）と思いますか？,Who wonders whether Mary invited you to the party yesterday morning ?
102,filler,1,103,,0,この文は、英語として文法的（ただしい）と思いますか？,Who wonders whether Mary went to the station yesterday morning ?
103,filler,1,104,,0,この文は、英語として文法的（ただしい）と思いますか？,Who wonders whether Mary called the police yesterday morning ?
104,filler,1,105,,0,この文は、英語として文法的（ただしい）と思いますか？,Who wonders whether Mary read a newspaper yesterday morning ?
105,filler,1,106,,0,この文は、英語として文法的（ただしい）と思いますか？,Who wonders whether Mary cried so hard yesterday morning ?
106,filler,1,107,,0,この文は、英語として文法的（ただしい）と思いますか？,Who wonders whether Mary danced to the music yesterday morning ?
107,filler,1,108,,0,この文は、英語として文法的（ただしい）と思いますか？,Who wonders whether Mary drank wine yesterday morning ?
108,filler,1,109,,0,この文は、英語として文法的（ただしい）と思いますか？,Who wonders whether Mary ate bananas yesterday morning ?
109,filler,1,110,,0,この文は、英語として文法的（ただしい）と思いますか？,Who wonders whether Mary played baseball yesterday morning ?
110,filler,1,111,,0,この文は、英語として文法的（ただしい）と思いますか？,Who wonders whether Mary left so early yesterday morning ?
111,filler,1,112,,0,この文は、英語として文法的（ただしい）と思いますか？,Who wonders whether Mary sang a song yesterday morning ?
112,filler,1,113,,0,この文は、英語として文法的（ただしい）と思いますか？,Who wonders whether Mary has been being sad since this morning ?
113,filler,1,114,,0,この文は、英語として文法的（ただしい）と思いますか？,Who wonders whether Mary has been being happy since this morning ?
114,filler,1,115,,0,この文は、英語として文法的（ただしい）と思いますか？,Who wonders whether Mary has been being nice to me since this morning ?
115,filler,1,116,,0,この文は、英語として文法的（ただしい）と思いますか？,Who wonders whether Mary has been being polite since this morning ?
116,filler,1,117,,0,この文は、英語として文法的（ただしい）と思いますか？,Who wonders whether Mary has been being sick since this morning ?
117,filler,1,118,,0,この文は、英語として文法的（ただしい）と思いますか？,Who wonders whether Mary has been being ill since this morning ?
118,filler,1,119,,0,この文は、英語として文法的（ただしい）と思いますか？,Who wonders whether Mary has been being angry since this morning ?
119,filler,1,120,,0,この文は、英語として文法的（ただしい）と思いますか？,Who wonders whether Mary has been being mad since this morning ?
120,filler,1,121,,0,この文は、英語として文法的（ただしい）と思いますか？,Who wonders whether Mary has been being cooperative since this morning ?
121,filler,1,122,,0,この文は、英語として文法的（ただしい）と思いますか？,Who wonders whether Mary has been being exhausted since this morning ?
122,filler,1,123,,0,この文は、英語として文法的（ただしい）と思いますか？,Who wonders whether Mary has been being rude since this morning ?
123,filler,1,124,,0,この文は、英語として文法的（ただしい）と思いますか？,Who wonders whether Mary has been being excited since this morning ?
124,filler,1,125,,0,この文は、英語として文法的（ただしい）と思いますか？,Who thinks that Mary has been able to play the piano since this April ?
125,filler,1,126,,0,この文は、英語として文法的（ただしい）と思いますか？,Who thinks that Mary has been capable of working full-time remotely from home since this April ?
126,filler,1,127,,0,この文は、英語として文法的（ただしい）と思いますか？,Who thinks that Mary has been absent from classes since this April ?
127,filler,1,128,,0,この文は、英語として文法的（ただしい）と思いますか？,Who thinks that Mary has been accustomed to living in Tokyo since this April ?
128,filler,1,129,,0,この文は、英語として文法的（ただしい）と思いますか？,Who thinks that Mary has been anxious about making the presentation since this April ?
129,filler,1,130,,0,この文は、英語として文法的（ただしい）と思いますか？,Who thinks that Mary has been bored of doing the same old job since this April ?
130,filler,1,131,,0,この文は、英語として文法的（ただしい）と思いますか？,Who thinks that Mary has been ashamed of showing her mom since this April ?
131,filler,1,132,,0,この文は、英語として文法的（ただしい）と思いますか？,Who thinks that Mary has been critical of spending money on games since this April ?
132,filler,1,133,,0,この文は、英語として文法的（ただしい）と思いますか？,Who thinks that Mary has been enthusiastic about moving to Tokyo since this April ?
133,filler,1,134,,0,この文は、英語として文法的（ただしい）と思いますか？,Who thinks that Mary has been excited about going to Hawaii since this April ?
134,filler,1,135,,0,この文は、英語として文法的（ただしい）と思いますか？,Who thinks that Mary has been interested in learning Japanese since this April ?
135,filler,1,136,,0,この文は、英語として文法的（ただしい）と思いますか？,Who thinks that Mary has been nervous about going to a new school since this April ?
136,filler,1,137,,0,この文は、英語として文法的（ただしい）と思いますか？,Who thinks that Mary has been working for a company since this April ?
137,filler,1,138,,0,この文は、英語として文法的（ただしい）と思いますか？,Who thinks that Mary has been cooking dinner since this April ?
138,filler,1,139,,0,この文は、英語として文法的（ただしい）と思いますか？,Who thinks that Mary has been lying about him since this April ?
139,filler,1,140,,0,この文は、英語として文法的（ただしい）と思いますか？,Who thinks that Mary has been living in Tokyo since this April ?
140,filler,1,141,,0,この文は、英語として文法的（ただしい）と思いますか？,Who thinks that Mary has been writing a letter since this April ?
141,filler,1,142,,0,この文は、英語として文法的（ただしい）と思いますか？,Who thinks that Mary has been playing with her son since this April ?
142,filler,1,143,,0,この文は、英語として文法的（ただしい）と思いますか？,Who thinks that Mary has been wearing glasses since this April ?
143,filler,1,144,,0,この文は、英語として文法的（ただしい）と思いますか？,Who thinks that Mary has been complaining about her teacher since this April ?
144,filler,1,145,,0,この文は、英語として文法的（ただしい）と思いますか？,Who thinks that Mary has been enjoying the play since this April ?
145,filler,1,146,,0,この文は、英語として文法的（ただしい）と思いますか？,Who thinks that Mary has been traveling  since this April ?
146,filler,1,147,,0,この文は、英語として文法的（ただしい）と思いますか？,Who thinks that Mary has been behaving oddly since this April ?
147,filler,1,148,,0,この文は、英語として文法的（ただしい）と思いますか？,Who thinks that Mary has been making jokes since this April ?
150,practice,2,201,,0,この文は、英語として文法的（ただしい）と思いますか？,This is the first example.  
212,practice,2,202,,0,この文は、英語として文法的（ただしい）と思いますか？,This is the second example.  
312,practice,2,203,,0,この文は、英語として文法的（ただしい）と思いますか？,This is the last example.   
1003,filler,2,101,,0,この文は、英語として文法的（ただしい）と思いますか？,Who wonders whether Mary stole a necklace yesterday morning ?
1013,filler,2,102,,0,この文は、英語として文法的（ただしい）と思いますか？,Who wonders whether Mary invited you to the party yesterday morning ?
1023,filler,2,103,,0,この文は、英語として文法的（ただしい）と思いますか？,Who wonders whether Mary went to the station yesterday morning ?
1033,filler,2,104,,0,この文は、英語として文法的（ただしい）と思いますか？,Who wonders whether Mary called the police yesterday morning ?
1043,filler,2,105,,0,この文は、英語として文法的（ただしい）と思いますか？,Who wonders whether Mary read a newspaper yesterday morning ?
